# Data catalog: 8600486 objects, total weight: 8600486
# Random catalog: 8618303 objects, total weight: 8618303
# Box size: [6000, 6000, 6000]
# Box boundaries: [[-3954.69,2045.31], [-3106.79,2893.21], [-2077.4,3922.6]]
# Grid size: 512 , assignment scheme: TSC , grid interlacing: disabled
# Shot noise: 1201.421678 , normalisation: 161.147603 
# kcen(1) kmin(2) kmax(3) kavg(4) nmod(5) P_0(6) P_2(7) P_4(8)
0.0005 0 0.001 0 1 -1145.289873 -3308.740629 882.1866162
0.0015 0.001 0.002 0.001483273537 26 8944.335322 -22793.3739 -5707.93071
0.0025 0.002 0.003 0.002513187028 66 31545.99046 -22218.78483 -2675.319836
0.0035 0.003 0.004 0.003574650311 158 28397.72251 -8964.121569 -2625.459528
0.0045 0.004 0.005 0.004583347234 210 24832.46317 8250.506562 -8139.015456
0.0055 0.005 0.006 0.005486963941 290 25034.63189 6790.087398 -12806.26772
0.0065 0.006 0.007 0.006471857466 486 26923.09871 9233.956406 124.655885
0.0075 0.007 0.008 0.007503996075 626 24837.8805 10497.15961 1423.221054
0.0085 0.008 0.009 0.008485494651 738 27809.07033 15810.1791 835.348512
0.0095 0.009 0.01 0.009528688361 1142 24106.56996 11637.99562 7407.312282
0.0105 0.01 0.011 0.01059290289 1202 26683.34634 13432.08023 3959.910992
0.0115 0.011 0.012 0.01156805959 1410 26533.93956 12476.11567 10379.38162
0.0125 0.012 0.013 0.01255755801 1766 26253.24096 10756.24157 8397.124909
0.0135 0.013 0.014 0.01352377727 1818 29368.7854 7623.720202 3885.414019
0.0145 0.014 0.015 0.01449493368 2354 31197.15738 11061.45336 4345.066259
0.0155 0.015 0.016 0.01550659145 2646 27960.67597 13048.93428 2835.529422
0.0165 0.016 0.017 0.01649600611 2906 25931.94996 17895.44136 2585.884304
0.0175 0.017 0.018 0.01749597409 3402 27029.57537 14505.82717 4604.675381
0.0185 0.018 0.019 0.01852436772 3926 28475.64096 12198.40583 4018.956753
0.0195 0.019 0.02 0.01951070807 3866 28500.03049 11643.7115 6648.599683
0.0205 0.02 0.021 0.02049887913 4794 25495.97852 15259.74534 5282.409851
0.0215 0.021 0.022 0.02151843925 5078 24621.26069 14544.57645 2915.463567
0.0225 0.022 0.023 0.02250744646 5388 25355.76929 15150.58386 3152.245998
0.0235 0.023 0.024 0.02350926803 6242 24894.62371 13186.40671 2451.160171
0.0245 0.024 0.025 0.024519738 6510 24506.19792 14087.29284 4115.438124
0.0255 0.025 0.026 0.02550872125 7034 24545.97979 13095.55915 2883.803125
0.0265 0.026 0.027 0.02649946825 7626 24491.37231 12120.3264 1329.70213
0.0275 0.027 0.028 0.02750605651 8462 22694.65108 12819.02386 2384.280883
0.0285 0.028 0.029 0.02851157646 8778 21884.43725 14833.04772 1107.27478
0.0295 0.029 0.03 0.02950080237 9434 21236.21112 14993.73541 62.8769267
0.0305 0.03 0.031 0.03050473555 10382 19821.3669 14565.60894 2850.152151
0.0315 0.031 0.032 0.03151077777 10746 20325.09471 13536.48703 825.8924888
0.0325 0.032 0.033 0.03251294853 11786 20323.3728 12752.64361 3479.748804
0.0335 0.033 0.034 0.03352591071 12366 19526.74219 12260.21425 2715.313759
0.0345 0.034 0.035 0.03451640001 12698 19148.03602 12566.24389 1659.946382
0.0355 0.035 0.036 0.03550965301 13986 18022.41513 12301.79425 3549.721573
0.0365 0.036 0.037 0.03649686618 14006 18595.44471 11782.23162 1493.06162
0.0375 0.037 0.038 0.03749450445 15882 18125.04432 11208.36299 2101.778971
0.0385 0.038 0.039 0.0385163014 16442 17444.2605 11451.02578 2599.810776
0.0395 0.039 0.04 0.03951752035 16898 17093.41737 10987.56737 1802.785108
0.0405 0.04 0.041 0.04050872299 17862 17103.55677 10510.56342 1844.074635
0.0415 0.041 0.042 0.04149904015 18578 16099.18657 10924.6042 1368.109519
0.0425 0.042 0.043 0.04250483471 20226 15328.95332 11825.97896 1301.32273
0.0435 0.043 0.044 0.04350196586 20174 14821.79685 10836.52281 2130.960352
0.0445 0.044 0.045 0.04449689153 21996 15093.59197 9903.37868 2052.868786
0.0455 0.045 0.046 0.04550135644 22466 14504.4304 9116.658046 3281.338619
0.0465 0.046 0.047 0.04650239743 23982 13852.73354 9507.228836 2255.138858
0.0475 0.047 0.048 0.04750599537 24482 13467.32813 9399.463186 2659.799592
0.0485 0.048 0.049 0.04850823681 26066 13258.18616 9097.676321 1988.317875
0.0495 0.049 0.05 0.04950625969 26454 13016.54102 7851.595685 2586.753381
0.0505 0.05 0.051 0.05050218287 27986 13234.06492 7730.594632 2007.930467
0.0515 0.051 0.052 0.05149625588 28602 12880.54826 7619.289385 2005.269404
0.0525 0.052 0.053 0.05249788668 30710 12432.35847 8046.299169 1318.354673
0.0535 0.053 0.054 0.05350486046 31170 12075.33946 7753.26423 1303.343051
0.0545 0.054 0.055 0.0545113508 33098 12316.86243 7694.068112 660.1098322
0.0555 0.055 0.056 0.05551180916 33174 12227.29371 7561.632872 676.387996
0.0565 0.056 0.057 0.05650423759 34922 11971.03711 7500.417396 892.6083907
0.0575 0.057 0.058 0.05750589357 36354 12310.78558 7152.113881 402.3864959
0.0585 0.058 0.059 0.05850828025 37478 12229.59841 6892.629179 310.6557198
0.0595 0.059 0.06 0.05950416126 38330 11959.95669 7537.604271 46.63505136
0.0605 0.06 0.061 0.06049746385 40026 11482.57041 7928.781589 260.9903135
0.0615 0.061 0.062 0.06149470089 41174 11398.15631 7625.719289 353.0159332
0.0625 0.062 0.063 0.06249968427 43314 11490.2427 7084.629751 602.6393058
0.0635 0.063 0.064 0.06350666611 44258 11447.59 6853.094727 1314.5478
0.0645 0.064 0.065 0.06450498148 45222 11386.39808 7024.973233 1283.771746
0.0655 0.065 0.066 0.06549912351 46634 11040.05763 6915.351115 1178.952602
0.0665 0.066 0.067 0.06649534595 48444 10725.78009 6840.701934 1363.196879
0.0675 0.067 0.068 0.06749659959 49886 10785.61166 6743.220803 1145.134652
0.0685 0.068 0.069 0.06850251671 51842 10402.39976 6558.069252 1011.592808
0.0695 0.069 0.07 0.06950283635 52506 10227.56019 6782.268394 1535.428267
0.0705 0.07 0.071 0.07049899823 54278 10065.64512 6470.322742 1126.461901
0.0715 0.071 0.072 0.07150256305 56370 10120.63905 5983.379868 1057.542594
0.0725 0.072 0.073 0.07250860643 57938 9919.725305 6028.228237 1119.89553
0.0735 0.073 0.074 0.07350183435 57774 9581.344566 6030.897779 728.4620625
0.0745 0.074 0.075 0.07450018079 61874 9476.410025 5993.653252 585.846716
0.0755 0.075 0.076 0.07551044772 62682 9335.74111 5714.5955 472.7726088
0.0765 0.076 0.077 0.07650666107 63110 9315.673056 5590.501528 178.8050013
0.0775 0.077 0.078 0.07750153739 66050 8897.629807 5663.261318 54.13098487
0.0785 0.078 0.079 0.07850633731 67842 8674.790978 5688.281491 29.48495357
0.0795 0.079 0.08 0.07950595503 68570 8640.02211 5300.135002 -126.261206
0.0805 0.08 0.081 0.08050450056 71406 8667.550132 4905.889965 118.7067807
0.0815 0.081 0.082 0.08150562527 72410 8452.007154 4436.571257 567.3591956
0.0825 0.082 0.083 0.08250795156 74970 8518.047836 4413.413213 72.66202393
0.0835 0.083 0.084 0.08350885144 76094 8052.125309 4347.76875 592.6168353
0.0845 0.084 0.085 0.08450499465 77826 7883.736466 4471.896148 115.5931807
0.0855 0.085 0.086 0.08550251762 79706 7616.362097 4361.758311 237.0241498
0.0865 0.086 0.087 0.08650455428 82734 7481.012424 4404.530946 348.3628991
0.0875 0.087 0.088 0.087506799 83234 7300.030871 4177.003077 446.1608076
0.0885 0.088 0.089 0.08849916174 84860 7201.621779 4048.597119 487.9461313
0.0895 0.089 0.09 0.08949943913 88734 7078.271274 3926.712656 744.0894504
0.0905 0.09 0.091 0.09050336408 89138 6936.387662 3968.310249 443.3279589
0.0915 0.091 0.092 0.09150411519 92178 6653.459266 4082.094332 336.048888
0.0925 0.092 0.093 0.09250625114 93638 6478.211178 4164.26642 435.4978175
0.0935 0.093 0.094 0.09350607696 95586 6401.962342 4013.052991 420.2995982
0.0945 0.094 0.095 0.09450462965 97394 6354.820039 3670.291197 685.1862548
0.0955 0.095 0.096 0.09549734195 98886 6376.694319 3636.466576 669.1096892
0.0965 0.096 0.097 0.09649510356 102194 6134.760302 3516.070176 681.3803563
0.0975 0.097 0.098 0.09750082367 104906 5974.05066 3707.358976 655.3911128
0.0985 0.098 0.099 0.09850290168 105894 5833.102387 3642.242463 550.426608
0.0995 0.099 0.1 0.09950257485 108386 5763.621124 3547.177486 494.0063605
0.1005 0.1 0.101 0.1005060025 111258 5649.969315 3558.09153 556.3065557
0.1015 0.101 0.102 0.1015058842 112118 5591.499551 3307.218316 647.7871471
0.1025 0.102 0.103 0.1025029431 114738 5604.666454 3076.278838 534.7058541
0.1035 0.103 0.104 0.1034995594 116762 5551.855995 3118.550541 527.2779767
0.1045 0.104 0.105 0.1045013054 120462 5338.967985 3224.296808 369.8270887
0.1055 0.105 0.106 0.1055051673 121610 5238.66357 3176.302129 247.882976
0.1065 0.106 0.107 0.1065029384 123882 5289.538243 3077.101981 250.8982528
0.1075 0.107 0.108 0.1075019382 126542 5204.368804 2905.751904 258.1046434
0.1085 0.108 0.109 0.1085031003 128810 5117.746324 2901.42869 261.7415833
0.1095 0.109 0.11 0.1095003321 130698 5007.503599 2967.787351 230.3867472
0.1105 0.11 0.111 0.110497361 133328 4864.838417 3009.335919 87.73358097
0.1115 0.111 0.112 0.1114977911 136242 4823.054795 2956.583271 210.6112592
0.1125 0.112 0.113 0.1124965266 138146 4816.744128 2817.77753 228.1166877
0.1135 0.113 0.114 0.113499793 142110 4811.869085 2679.416662 146.7547288
0.1145 0.114 0.115 0.1145034926 143330 4702.544743 2688.854855 372.9967704
0.1155 0.115 0.116 0.1155057908 146946 4682.941001 2644.024449 264.0439098
0.1165 0.116 0.117 0.1165027147 146546 4695.724548 2587.918894 221.857293
0.1175 0.117 0.118 0.1174990543 151862 4602.348287 2544.56737 213.970653
0.1185 0.118 0.119 0.118499467 153162 4585.666491 2610.577564 191.8081695
0.1195 0.119 0.12 0.1195033198 157802 4506.578458 2616.340447 190.1813451
0.1205 0.12 0.121 0.1205076616 158814 4545.012375 2527.594161 221.0764119
0.1215 0.121 0.122 0.1215057239 161138 4514.770179 2449.162027 162.6437008
0.1225 0.122 0.123 0.1225033771 163698 4439.977322 2475.739679 275.723739
0.1235 0.123 0.124 0.1235032919 167486 4404.477427 2480.517834 350.0018176
0.1245 0.124 0.125 0.1245018759 168666 4465.420339 2307.297967 250.2543119
0.1255 0.125 0.126 0.125501711 172994 4414.998192 2250.132491 332.7109206
0.1265 0.126 0.127 0.1265031946 175166 4314.504398 2282.806414 245.1024653
0.1275 0.127 0.128 0.1275020927 177498 4279.792261 2417.748732 200.9170864
0.1285 0.128 0.129 0.1285035828 181490 4203.42434 2321.043834 155.1454519
0.1295 0.129 0.13 0.1295027212 182574 4198.96625 2207.896219 182.0918099
0.1305 0.13 0.131 0.1304946407 184274 4165.076032 2211.494449 209.2872548
0.1315 0.131 0.132 0.1314922124 190218 4059.043945 2178.093372 264.2645061
0.1325 0.132 0.133 0.1324936018 191750 4020.027121 2130.756499 220.8495532
0.1335 0.133 0.134 0.1334957029 196116 3993.040861 2062.393368 326.2444353
0.1345 0.134 0.135 0.1345035175 199874 3959.181701 1994.111933 261.0890569
0.1355 0.135 0.136 0.1355073096 200622 3912.864135 1986.35647 248.0091599
0.1365 0.136 0.137 0.136505413 203426 3800.90021 2041.661717 227.9950239
0.1375 0.137 0.138 0.1375073952 208106 3777.157488 1956.235657 212.0749058
